timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
1659371464.05982900,10628713,0.0,1.0,0.0,0.48,359.99,0.0,1.0,1.0,0
1659371464.15939713,10728281,0.0,1.31,0.0,-0.17,242.24,242.25,1.0,0.8,0
1659371464.25939417,10828278,0.0,1.28,0.0,-0.1,242.25,242.26,0.64,0.64,0
1659371464.35927820,10928162,0.0,1.24,0.0,0.01,242.16,242.17000000000002,0.64,0.51,0
1659371464.45931220,11028196,0.0,1.2,0.0,0.1,241.98000000000002,241.99,0.41000000000000003,0.42,0
1659371464.55930519,11128189,0.0,1.17,0.0,0.19,242.08,242.09,0.41000000000000003,0.34,0
1659371464.65935516,11228239,0.0,1.1400000000000001,0.0,0.25,242.01,242.02,0.26,0.27,0
1659371464.75941515,11328299,0.0,1.12,0.0,0.31,241.94,241.95000000000002,0.26,0.22,0
1659371464.85933399,11428218,0.0,1.11,0.0,0.35000000000000003,242.01,242.02,0.21,0.18,0
1659371464.95984507,11528729,0.0,1.09,0.0,0.39,242.05,242.06,0.21,0.14,0
1659371465.05952120,11628405,0.0,1.08,0.0,0.43,241.89000000000001,241.9,0.13,0.12,0
1659371465.15960622,11728490,0.0,1.08,0.0,0.45,241.87,241.88,0.13,0.1,0
1659371465.25954413,11828428,0.0,1.07,0.0,0.47000000000000003,241.82,241.83,0.11,0.08,0
1659371465.35946417,11928348,0.0,1.06,0.0,0.48,241.64000000000001,241.65,0.11,0.07,0
1659371465.45946908,12028353,0.0,1.06,0.0,0.49,241.61,241.62,0.08,0.06,0
1659371465.55946922,12128353,0.0,1.05,0.0,0.5,241.58,241.59,0.08,0.04,0
1659371465.65946817,12228352,0.0,1.05,0.0,0.5,241.64000000000001,241.65,0.07,0.04,0
1659371465.75947714,12328361,0.0,1.04,0.0,0.51,241.66,241.67000000000002,0.07,0.03,0
1659371465.85953903,12428423,0.0,1.04,0.0,0.52,241.67000000000002,241.68,0.05,0.02,0
1659371465.96024013,12529124,0.0,1.01,0.0,0.56,359.98,0.0,0.05,0.02,3
1659371466.05983615,12628720,0.0,1.01,0.0,0.56,359.98,0.0,0.03,0.02,3
1659371466.15992117,12728805,0.0,1.01,0.0,0.56,359.98,0.0,0.03,0.02,3
1659371466.25983310,12828717,0.0,1.01,0.0,0.56,359.99,0.0,0.02,0.02,3
1659371466.35992408,12928808,0.0,1.01,0.0,0.56,359.99,0.0,0.02,0.01,3
1659371466.45985103,13028735,0.0,1.01,0.0,0.56,359.99,0.0,0.01,0.01,3
1659371466.55992699,13128811,0.0,1.01,0.0,0.56,359.99,0.0,0.01,0.01,3
1659371466.65986705,13228751,0.0,1.01,0.0,0.55,359.99,0.0,0.01,0.01,3
1659371466.75985503,13328739,0.0,1.01,0.0,0.55,359.99,0.0,0.01,0.01,3
1659371466.85989308,13428777,0.0,1.01,0.0,0.55,359.99,0.0,0.01,0.01,3
1659371466.96031213,13529196,0.0,1.01,0.0,0.55,359.99,0.0,0.01,0.01,3
1659371467.05988216,13628766,0.0,1.01,0.0,0.55,359.99,0.0,0.0,0.01,3
1659371467.15991616,13728800,0.0,1.01,0.0,0.55,359.99,0.0,0.0,0.01,3
1659371467.25989199,13828776,0.0,1.01,0.0,0.55,359.98,0.0,0.0,0.01,3
1659371467.35979915,13928683,0.0,1.01,0.0,0.55,359.98,0.0,0.0,0.01,3
1659371467.45991302,14028797,0.0,1.01,0.0,0.54,359.98,0.0,0.0,0.01,3
1659371467.55991316,14128797,0.0,1.01,0.0,0.54,359.98,0.0,0.0,0.01,3
1659371467.65987515,14228759,0.0,1.01,0.0,0.54,359.98,0.0,0.0,0.01,3
1659371467.75982213,14328706,0.0,1.02,0.0,0.53,240.29,240.32,0.0,0.01,3
1659371467.85996318,14428847,0.0,1.02,0.0,0.53,240.31,240.33,0.0,0.01,3
1659371467.96024609,14529130,0.0,1.02,0.0,0.53,240.32,240.34,0.0,0.01,3
1659371468.05991507,14628799,0.0,1.02,0.0,0.53,240.35,240.37,0.0,0.01,3
1659371468.15995216,14728836,0.0,1.02,0.0,0.52,240.4,240.43,0.0,0.01,3
1659371468.25990701,14828791,0.0,1.02,0.0,0.52,240.48000000000002,240.5,0.0,0.01,3
1659371468.35990620,14928790,0.0,1.02,0.0,0.52,240.59,240.61,0.0,0.02,3
1659371468.45985508,15028739,0.0,1.02,0.0,0.52,240.76,240.79,0.0,0.02,3
1659371468.55985808,15128742,0.0,1.03,0.0,0.52,240.99,241.01,0.0,0.02,3
1659371468.65991211,15228796,0.0,1.03,0.0,0.51,241.18,241.20000000000002,0.0,0.02,3
1659371468.75992608,15328810,0.0,1.03,0.0,0.51,241.29,241.31,0.0,0.02,3
1659371468.85991406,15428798,0.0,1.04,0.0,0.51,241.31,241.34,0.0,0.01,3
1659371468.96015620,15529040,0.0,1.03,0.0,0.51,241.3,241.33,0.0,0.01,3
1659371469.05992007,15628804,0.0,1.03,0.0,0.51,241.29,241.31,0.0,0.01,3
1659371469.15993118,15728815,0.0,1.03,0.0,0.51,241.27,241.29,0.0,0.01,3
1659371469.25984311,15828727,0.0,1.03,0.0,0.51,241.26,241.29,0.0,0.01,3
1659371469.35992408,15928808,0.0,1.03,0.0,0.51,241.27,241.29,0.0,0.01,3
1659371469.45992017,16028804,0.0,1.03,0.0,0.52,241.28,241.3,0.0,0.01,3
1659371469.55984521,16128729,0.0,1.03,0.0,0.52,241.29,241.31,0.0,0.01,3
1659371469.65992403,16228808,0.0,1.03,0.0,0.52,241.28,241.31,0.0,0.01,3
1659371469.75989318,16328777,0.0,1.03,0.0,0.52,241.29,241.32,0.0,0.01,3
1659371469.85987306,16428757,0.0,1.03,0.0,0.52,241.33,241.35,0.0,0.01,3
1659371469.96017718,16529061,0.0,1.03,0.0,0.52,241.39000000000001,241.41,0.0,0.01,3
1659371470.05989003,16628774,0.0,1.03,0.0,0.53,241.46,241.48000000000002,0.0,0.01,3
1659371470.15997601,16728860,0.0,1.03,0.0,0.53,241.54,241.56,0.0,0.01,3
1659371470.25985909,16828743,0.0,1.03,0.0,0.53,241.61,241.63,0.0,0.01,3
1659371470.35989022,16928774,0.0,1.03,0.0,0.53,241.67000000000002,241.69,0.0,0.01,3
1659371470.45987415,17028758,0.0,1.02,0.0,0.53,241.73000000000002,241.75,0.0,0.01,3
1659371470.55998111,17128865,0.0,1.03,0.0,0.54,241.78,241.81,0.0,0.01,3
1659371470.65988016,17228764,0.0,1.03,0.0,0.53,241.83,241.85,0.0,0.01,3
1659371470.75994015,17328824,0.0,1.03,0.0,0.53,241.85,241.87,0.0,0.01,3
1659371470.85988712,17428771,0.0,1.03,0.0,0.53,241.87,241.89000000000001,0.0,0.01,3
1659371470.96023607,17529120,0.0,1.02,0.0,0.53,241.87,241.89000000000001,0.0,0.02,3
1659371471.05984902,17628733,0.0,1.02,0.0,0.53,241.85,241.87,0.0,0.01,3
1659371471.15992403,17728808,0.0,1.02,0.0,0.53,241.81,241.83,0.0,0.01,3
1659371471.25987911,17828763,0.0,1.02,0.0,0.53,241.77,241.79,0.0,0.01,3
1659371471.35987806,17928762,0.0,1.02,0.0,0.53,241.74,241.76,0.0,0.01,3
1659371471.45996404,18028848,0.0,1.02,0.0,0.54,241.74,241.76,0.0,0.01,3
1659371471.55986500,18128749,0.0,1.02,0.0,0.53,241.74,241.76,0.0,0.01,3
1659371471.65985703,18228741,0.0,1.02,0.0,0.53,241.76,241.78,0.0,0.01,3
1659371471.75989604,18328780,0.0,1.02,0.0,0.54,241.79,241.81,0.0,0.01,3
1659371471.85985112,18428735,0.0,1.02,0.0,0.53,241.83,241.86,0.0,0.01,3
1659371471.96019220,18529076,0.0,1.02,0.0,0.53,241.87,241.9,0.0,0.01,3
1659371472.05989218,18628776,0.0,1.02,0.0,0.53,241.9,241.92000000000002,0.0,0.01,3
1659371472.15992904,18728813,0.0,1.02,0.0,0.53,241.91,241.93,0.0,0.0,3
1659371472.25996017,18828844,0.0,1.02,0.0,0.53,241.92000000000002,241.94,0.0,0.01,3
1659371472.35990000,18928784,0.0,1.02,0.0,0.53,241.92000000000002,241.94,0.0,0.01,3
1659371472.45988321,19028767,0.0,1.02,0.0,0.53,241.91,241.93,0.0,0.01,3
1659371472.55991101,19128795,0.0,1.02,0.0,0.53,241.89000000000001,241.91,0.0,0.0,3
1659371472.65990710,19228791,0.0,1.02,0.0,0.53,241.87,241.89000000000001,0.0,0.0,3
1659371472.75989008,19328774,0.0,1.02,0.0,0.53,241.85,241.88,0.0,0.01,3
1659371472.85992908,19428813,0.0,1.02,0.0,0.54,241.84,241.86,0.0,0.0,3
1659371472.96028519,19529169,0.0,1.02,0.0,0.54,241.81,241.83,0.0,0.01,3
1659371473.05986619,19628750,0.0,1.02,0.0,0.54,241.79,241.82,0.0,0.0,3
1659371473.15984702,19728731,0.0,1.02,0.0,0.54,241.79,241.81,0.0,0.0,3
1659371473.25988221,19828766,0.0,1.02,0.0,0.54,241.79,241.81,0.0,0.0,3
1659371473.35982704,19928711,0.0,1.02,0.0,0.54,241.79,241.82,0.0,0.0,3
1659371473.45985222,20028736,0.0,1.02,0.0,0.54,241.81,241.83,0.0,0.0,3
1659371473.55978203,20128666,0.0,1.02,0.0,0.54,241.83,241.85,0.0,0.0,3
1659371473.65990400,20228788,0.0,1.02,0.0,0.54,241.84,241.86,0.0,0.01,3
1659371473.75986409,20328748,0.0,1.02,0.0,0.54,241.86,241.89000000000001,0.0,0.01,3
1659371473.85985112,20428735,0.0,1.02,0.0,0.53,241.9,241.92000000000002,0.0,0.01,3
1659371473.96019912,20529083,0.0,1.02,0.0,0.55,241.94,241.96,0.0,0.01,3
1659371474.05990601,20628790,0.0,1.01,0.0,0.54,241.98000000000002,242.0,0.0,0.01,3
1659371474.15994620,20728830,0.0,1.03,0.0,0.54,241.93,241.95000000000002,0.0,0.01,3
1659371474.25985217,20828736,0.0,1.01,0.0,0.54,242.0,242.02,0.0,0.0,3
1659371474.35985804,20928742,0.0,1.03,0.0,0.55,241.97,241.99,0.0,0.0,3
1659371474.45987201,21028756,0.0,1.02,0.0,0.54,241.96,241.99,0.0,0.01,3
1659371474.55991006,21128794,0.0,1.02,0.0,0.56,241.97,241.99,0.0,0.01,3
1659371474.65993404,21228818,0.0,1.03,0.0,0.55,241.93,241.96,0.0,0.01,3
1659371474.75986814,21328752,0.0,1.03,0.0,0.54,241.88,241.9,0.0,0.01,3
1659371474.85985208,21428736,0.0,1.03,0.0,0.55,241.88,241.9,0.0,0.01,3
1659371474.96022415,21529108,0.0,1.02,0.0,0.54,241.87,241.89000000000001,0.0,0.01,3
1659371475.05989408,21628778,0.0,1.03,0.0,0.55,241.84,241.86,0.0,0.01,3
1659371475.15988708,21728771,0.0,1.02,0.0,0.55,241.89000000000001,241.91,0.0,0.01,3
