timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
1666958681.32041001,12514693,0.0,1.68,0.0,-0.24,359.99,0.0,1.0,1.0,0
1666958681.42049909,12614782,0.0,1.83,0.0,-0.26,73.82000000000001,73.82000000000001,0.64,0.8,0
1666958681.52035499,12714638,0.0,1.81,0.0,-0.26,74.13,74.13,0.64,0.65,0
1666958681.62054491,12814828,0.0,1.79,0.0,-0.26,74.51,74.51,0.51,0.53,0
1666958681.72036695,12914650,0.0,1.77,0.0,-0.26,74.63,74.63,0.51,0.43,0
1666958681.82038093,13014664,0.0,1.76,0.0,-0.26,74.78,74.78,0.41000000000000003,0.35000000000000003,0
1666958681.92043591,13114719,0.0,1.74,0.0,-0.26,74.97,74.97,0.41000000000000003,0.29,0
1666958682.02039099,13214674,0.0,1.72,0.0,-0.26,75.24,75.24,0.41000000000000003,0.24,0
1666958682.12044501,13314728,0.0,1.71,0.0,-0.25,75.39,75.39,0.32,0.2,0
1666958682.22086787,13415151,0.0,1.7,0.0,-0.25,75.51,75.51,0.26,0.16,0
1666958682.32050896,13514792,0.0,1.71,0.0,-0.25,75.38,75.38,0.21,0.13,0
1666958682.42059994,13614883,0.0,1.71,0.0,-0.26,75.47,75.47,0.21,0.11,0
1666958682.52063704,13714920,0.0,1.71,0.0,-0.26,75.63,75.63,0.16,0.09,0
1666958682.62066793,13814951,0.0,1.71,0.0,-0.27,75.89,75.89,0.16,0.08,0
1666958682.72056794,13914851,0.0,1.71,0.0,-0.26,75.89,75.89,0.13,0.07,0
1666958682.82053900,14014822,0.0,1.71,0.0,-0.26,76.11,76.11,0.1,0.06,0
1666958682.92061496,14114898,0.0,1.71,0.0,-0.25,76.16,76.16,0.08,0.05,0
1666958683.02063799,14214921,0.0,1.72,0.0,-0.25,76.12,76.12,0.08,0.04,0
1666958683.12070298,14314986,0.0,1.72,0.0,-0.24,76.19,76.19,0.06,0.03,0
1666958683.22153401,14415817,0.0,1.67,0.0,-0.29,0.0,0.0,0.06,0.03,3
1666958683.32111692,14515400,0.0,1.67,0.0,-0.29,0.0,0.0,0.05,0.02,3
1666958683.42104697,14615330,0.0,1.67,0.0,-0.29,0.0,0.0,0.04,0.03,3
1666958683.52093697,14715220,0.0,1.67,0.0,-0.29,0.0,0.0,0.03,0.02,3
1666958683.62107110,14815354,0.0,1.67,0.0,-0.29,0.0,0.0,0.03,0.02,3
1666958683.72094488,14915228,0.0,1.67,0.0,-0.29,0.0,0.0,0.02,0.02,3
1666958683.82103610,15015319,0.0,1.67,0.0,-0.29,0.0,0.0,0.02,0.01,3
1666958683.92090893,15115192,0.0,1.67,0.0,-0.29,0.0,0.0,0.02,0.01,3
1666958684.02094388,15215227,0.0,1.67,0.0,-0.29,0.0,0.0,0.02,0.01,3
1666958684.12098789,15315271,0.0,1.67,0.0,-0.29,0.0,0.0,0.01,0.01,3
1666958684.22122788,15415511,0.0,1.67,0.0,-0.29,0.0,0.0,0.01,0.01,3
1666958684.32095194,15515235,0.0,1.67,0.0,-0.28,0.01,0.01,0.01,0.01,3
1666958684.42102599,15615309,0.0,1.67,0.0,-0.28,0.01,0.01,0.01,0.01,3
1666958684.52093410,15715217,0.0,1.67,0.0,-0.27,0.01,0.01,0.01,0.01,3
1666958684.62107301,15815356,0.0,1.67,0.0,-0.27,0.01,0.01,0.0,0.01,3
1666958684.72091794,15915201,0.0,1.68,0.0,-0.26,0.01,0.01,0.0,0.01,3
1666958684.82096505,16015248,0.0,1.68,0.0,-0.26,0.01,0.01,0.0,0.01,3
1666958684.92095208,16115235,0.0,1.68,0.0,-0.25,0.01,0.01,0.0,0.01,3
1666958685.02093792,16215221,0.0,1.68,0.0,-0.24,76.34,76.34,0.0,0.01,3
1666958685.12096810,16315251,0.0,1.69,0.0,-0.24,76.4,76.4,0.0,0.01,3
1666958685.22134495,16415628,0.0,1.69,0.0,-0.25,76.52,76.52,0.0,0.0,3
1666958685.32099295,16515276,0.0,1.69,0.0,-0.25,76.66,76.66,0.0,0.01,3
1666958685.42102003,16615303,0.0,1.69,0.0,-0.25,76.75,76.75,0.0,0.01,3
1666958685.52089691,16715180,0.0,1.69,0.0,-0.25,76.78,76.78,0.0,0.0,3
1666958685.62108088,16815364,0.0,1.69,0.0,-0.25,76.76,76.76,0.0,0.0,3
1666958685.72094703,16915230,0.0,1.69,0.0,-0.25,76.72,76.72,0.0,0.0,3
1666958685.82098103,17015264,0.0,1.69,0.0,-0.25,76.68,76.68,0.0,0.0,3
1666958685.92101097,17115294,0.0,1.69,0.0,-0.24,76.66,76.66,0.0,0.0,3
1666958686.02096510,17215248,0.0,1.69,0.0,-0.24,76.66,76.66,0.0,0.0,3
1666958686.12108397,17315367,0.0,1.7,0.0,-0.24,76.67,76.67,0.0,0.0,3
1666958686.22125793,17415541,0.0,1.7,0.0,-0.24,76.69,76.69,0.0,0.0,3
1666958686.32093406,17515217,0.0,1.7,0.0,-0.24,76.71000000000001,76.71000000000001,0.0,0.0,3
1666958686.42100310,17615286,0.0,1.7,0.0,-0.24,76.73,76.73,0.0,0.0,3
1666958686.52095509,17715238,0.0,1.7,0.0,-0.24,76.76,76.76,0.0,0.0,3
1666958686.62102199,17815305,0.0,1.7,0.0,-0.23,76.78,76.79,0.0,0.01,3
1666958686.72092509,17915208,0.0,1.7,0.0,-0.23,76.8,76.8,0.0,0.0,3
1666958686.82097888,18015262,0.0,1.7,0.0,-0.23,76.81,76.81,0.0,0.01,3
1666958686.92088604,18115169,0.0,1.7,0.0,-0.23,76.82000000000001,76.82000000000001,0.0,0.01,3
